AISelect,RemoteWork,EdLevel,YearsCodePro,ConvertedCompYearly,JobSat
Yes,Remote,Primary/elementary school,13.978556693034726,144693.49710593084,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,5.875921410913658,89014.55475173808,7.0
Yes,Remote,Primary/elementary school,8.699864464990181,76365.77900895584,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.8813748781571613,,9.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.848427974234822,91785.40088528735,8.0
Yes,Remote,Primary/elementary school,7.422997917777411,93555.4176827293,8.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,67797.13661295452,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.3295042632609118,54516.661005073525,9.0
Yes,Remote,Primary/elementary school,9.39943719934258,97768.49150964897,9.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,6.415652713873282,84637.06572175262,4.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.628293867807912,,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,4.052055278332977,71423.48557680339,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.206044817105225,81395.2738553638,9.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.450202860032914,,7.0
"No, but I plan to soon",Remote,Primary/elementary school,8.780143456464758,96836.60893328521,5.0
"No, but I plan to soon",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,59008.5117618819,5.0
"No, and I don't plan to",Remote,Primary/elementary school,12.651336227079568,83651.96361317058,4.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.36680305176797,95781.34692201435,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,52155.43867845836,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.34370678529119,116536.68602585948,10.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.220875405324172,122384.99145282128,9.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0017819767501805,93908.91867091742,9.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.8113255124604946,70532.75201615048,8.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.06091236666029,101104.24316380064,7.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.035075734810595,92521.32168557023,6.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.195515375275825,131750.8064360865,7.0
"No, and I don't plan to",In-person,Primary/elementary school,15.876805087847114,,7.0
Yes,Remote,Primary/elementary school,8.007347002494475,116101.9473185663,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.3324612331257524,83083.80804632347,8.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.657076020321114,87613.3321224669,7.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.8422185590360494,107010.97919907502,6.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.73395886979409,85416.37023313767,4.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.775729765000781,,9.0
"No, but I plan to soon",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.108594310601427,76604.18908077668,10.0
"No, and I don't plan to",Remote,Primary/elementary school,1.862278502369601,37133.98425840183,8.0
"No, and I don't plan to",In-person,Primary/elementary school,6.471651977923427,81976.94915347293,4.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.707019173208197,73534.18673962519,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,53182.70289781568,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.038294245920884,91376.97365399166,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.817199075612883,86979.3637200909,8.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.9400322049754903,100238.35080436918,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.114515697079492,107943.96069824776,10.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.833906110419019,97070.95980072775,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.614390055394395,67681.18910210057,5.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.35294751828456,87348.40974368225,9.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.977992304084232,103037.87169080981,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.528083690470229,72381.14188664747,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.445768147789302,114360.36041734349,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.353386667686364,79716.40653029949,6.0
Yes,In-person,Primary/elementary school,1.0,74261.23232496636,5.0
"No, but I plan to soon",Remote,Primary/elementary school,6.252521612598403,90623.98044096076,6.0
"No, and I don't plan to",In-person,Primary/elementary school,6.044348632063885,65321.18695741529,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,12.720622546239513,110842.37378211824,7.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.334911454247493,84327.2701002801,9.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.80955615153322,59455.89071542909,5.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.639501036035955,64429.510216037655,6.0
"No, and I don't plan to",Remote,Primary/elementary school,11.093542326509606,86440.04228027863,8.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.261661347018738,71143.8817019696,7.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.207217867633563,,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.897191228316535,78271.91507847939,9.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.762784575290729,113464.2361522797,6.0
"No, and I don't plan to",In-person,Primary/elementary school,8.984659622391746,93721.32805121952,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.177071893396455,73102.4188844036,1.0
Yes,In-person,Primary/elementary school,7.766157197779321,86110.6816059519,7.0
Yes,Remote,Primary/elementary school,4.761030105618071,,10.0
Yes,Remote,Primary/elementary school,6.2242023982293855,89740.94644864618,4.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.3467827129019305,89519.01693425994,6.0
"No, and I don't plan to",Remote,Primary/elementary school,5.820882862801026,98921.08656370311,7.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.384713054506499,99376.05141718847,2.0
"No, and I don't plan to",Remote,Primary/elementary school,2.6885127544912404,54821.336221517355,5.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.24512933430834,72494.6084909483,10.0
Yes,Remote,Primary/elementary school,1.9828045482569925,65156.791449075725,10.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.1163649712496069,36965.782792706814,7.0
"No, and I don't plan to",In-person,Primary/elementary school,6.252912343218835,90876.34732644961,5.0
"No, and I don't plan to",In-person,Primary/elementary school,4.529563272796855,37354.28916445252,4.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.046755723168769,111485.21729688026,6.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.8686138152888265,78519.18975338242,8.0
Yes,Remote,Primary/elementary school,12.157587453720097,105865.47786865858,10.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.872025899762534,95582.27602600303,9.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.164183379103944,114262.61172149426,8.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.440542328342492,,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.074135945859235,111115.1536861501,10.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,13.052037064015956,,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.586387566325055,117503.43859247374,6.0
Yes,In-person,Primary/elementary school,8.65859194041913,83370.71522863879,7.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.004523391223403,86706.19061754533,5.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.496285660477902,93103.27960817963,3.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.4229542744331676,71927.7775322066,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.229161417812065,78882.70807260291,9.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.296988935778641,,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,13.104745269446646,,8.0
Yes,Remote,Primary/elementary school,4.1174413126722005,93770.60900106,6.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,9.115325207252079,100891.46058138541,8.0
"No, but I plan to soon",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.603480853110138,87664.21675750424,6.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.528503741673617,69609.36527182604,4.0
"No, and I don't plan to",Remote,Primary/elementary school,8.424010516900104,104205.73419309792,4.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.871989642664549,74069.29442606123,5.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.165630275490352,105037.50323355265,9.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,12.766867043800207,93543.0282767249,10.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.136510363458802,84771.67741094311,6.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.24236503549081,,10.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.458500227292316,109789.62771675023,6.0
"No, and I don't plan to",Remote,Primary/elementary school,11.439718383521344,107966.26639060705,6.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,6.630406245586607,75465.49381366021,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.131518390588379,,8.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0486772763181387,60641.74945136992,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.732929793262535,128368.01723439514,8.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.478750082988075,75139.6994324151,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.9677780915522076,49121.65519357588,6.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.967658693251202,,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.250462751637199,103603.04056565263,8.0
Yes,In-person,Primary/elementary school,10.402590671129005,103237.27889428295,9.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,6.373031696870895,88247.78887218054,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.510501598802377,64567.30499346244,7.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.124179591049427,80559.74386139156,8.0
"No, but I plan to soon","Hybrid (some remote, some in-person)",Primary/elementary school,7.889064529792967,100361.58301092274,3.0
Yes,In-person,Primary/elementary school,5.082652554236594,113897.80777095899,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.6235403367708,96904.47513688759,3.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.316244457230861,94680.99053857982,3.0
Yes,Remote,Primary/elementary school,11.433350746548602,103705.88636856852,4.0
"No, but I plan to soon",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.387131118699905,95859.67884598297,8.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.706422032177628,113625.68418483781,6.0
Yes,Remote,Primary/elementary school,2.6057966367744205,77944.139293156,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,7.393240768952411,,8.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,6.788687981700924,106776.62239277601,9.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,1.3119739003698676,58942.6160957508,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.420242919211638,128176.77088484718,7.0
"No, and I don't plan to",Remote,Primary/elementary school,3.7303964123706006,,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.561728684656069,78299.79277398359,9.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.9467366576090965,72251.06425189403,7.0
Yes,Remote,Primary/elementary school,9.804745304281493,84564.67088755973,8.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,50457.41750064016,6.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.471499201858272,100189.68077658795,5.0
Yes,Remote,Primary/elementary school,11.178055944973842,94203.79283173622,9.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.148713710503042,102338.52334482557,10.0
"No, but I plan to soon",Remote,Primary/elementary school,9.850513935385717,96570.55504173244,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,10.038185878312172,,9.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,3.2023026930969443,76148.94682362831,5.0
"No, and I don't plan to",Remote,Primary/elementary school,12.738939918657376,87479.18997061077,6.0
Yes,Remote,Primary/elementary school,5.1596949834660055,104109.67390543011,10.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.734449529640112,80397.79394036326,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,5.669450726596164,,7.0
"No, and I don't plan to",Remote,Primary/elementary school,8.966168483509236,122594.84937586333,3.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.847851027450311,64913.824711526875,5.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.267662896949474,90000.86198580128,4.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0586247314159802,74511.55473072518,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.658660834006287,104740.84667165473,8.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.682963783800814,124779.9228004292,7.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.830960952392922,81616.23607082818,8.0
Yes,Remote,Primary/elementary school,5.123403879896759,,7.0
"No, and I don't plan to",Remote,Primary/elementary school,9.578512985270788,86485.88610061124,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.170826477456153,78869.52920920536,6.0
Yes,Remote,Primary/elementary school,7.501461263060676,119896.97982182773,4.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,11.645595149725626,108154.65946254447,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.7549715234512298,59094.38533197334,7.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.474403316480812,95818.93676088724,4.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,8.26290106774197,87429.57545801511,7.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.610652725349269,75990.54848426578,3.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.984841663584254,100252.4083756191,5.0
"No, but I plan to soon",Remote,Primary/elementary school,11.85918822757754,100968.08159948802,6.0
Yes,In-person,Primary/elementary school,4.609725456932136,85608.2387159668,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,65861.77431312518,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.562134366524136,60969.063578709494,8.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.194786600928664,,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.76752457942035,85392.06053958477,6.0
Yes,In-person,Primary/elementary school,12.339612991373777,136888.6896451441,7.0
"No, and I don't plan to",Remote,Primary/elementary school,9.518999513594697,94286.91874700948,3.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.285645207549965,86382.87763840223,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.080196427718588,123783.73882265565,8.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.867041850435786,126301.58756589811,10.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.322293570501744,96842.55028146892,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.535792734094592,136279.9475529295,10.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.019102179386339,95737.23679706147,6.0
"No, but I plan to soon",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.075087133037682,106657.52150675043,9.0
"No, and I don't plan to",In-person,Primary/elementary school,5.03142593921599,81181.11660303766,10.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.583926566006384,88315.46674123517,4.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.787231266260453,97078.13716114993,8.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.8145664631727,84361.12491265687,6.0
"No, and I don't plan to",Remote,Primary/elementary school,7.6366357813284225,98133.6898450211,5.0
"No, and I don't plan to",In-person,Primary/elementary school,6.174076059292612,,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,9.241925595219742,78811.3291491412,6.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.1167796733069313,50593.659346874294,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.5646771947661655,126576.19605382661,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.473830579391507,100028.6556064911,10.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,9.197262578232914,106564.9474252219,7.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.767239287334915,72153.33706851966,7.0
Yes,Remote,Primary/elementary school,13.38949115981006,125181.800735448,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,6.735426860505332,99030.24578413118,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.3876333545986546,94675.11993698872,4.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.758060170660169,102337.18216978287,7.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.684482524135708,97935.72556506917,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.233166699023187,101568.42777137642,5.0
"No, and I don't plan to",Remote,Primary/elementary school,6.358515997670207,102226.8334304525,5.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.00551860403194,66256.93791495527,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.8929081914756534,38798.92918710179,8.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.45178612082881,95977.76898350008,8.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.310605238116574,124829.96210282315,6.0
Yes,Remote,Primary/elementary school,1.7532689981328646,61929.352503867085,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.470528335624543,104365.83177498485,5.0
"No, and I don't plan to",Remote,Primary/elementary school,8.616406620036035,69618.75839493927,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.9121035584368133,62993.98441915366,8.0
"No, and I don't plan to",Remote,Primary/elementary school,2.175999195710123,73906.23191427629,7.0
"No, and I don't plan to",In-person,Primary/elementary school,8.49397307760689,66916.92474554754,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.409183544372328,92654.84237791647,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.279795402198681,139203.88657707893,9.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.810393578595626,115945.38901325494,8.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.894772546928909,91322.31305038967,6.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.092316016009578,109603.88134678542,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,12.323468721468672,124008.02820397771,6.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.386072366909351,63444.53328531812,10.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,8.99906575398409,,6.0
"No, and I don't plan to",Remote,Primary/elementary school,3.07895529480996,57205.72974557571,7.0
Yes,In-person,Primary/elementary school,19.247787861624875,141315.71073032403,7.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.5872689707670666,79175.50146208363,4.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.749829051599342,82880.33291062519,4.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,49816.11078937279,9.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.155192635077048,109626.35210135709,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.60444174913923,115084.29819001653,6.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.06110575345904,104905.02993936246,5.0
"No, and I don't plan to",Remote,Primary/elementary school,1.0,,6.0
Yes,In-person,Primary/elementary school,11.451622669523726,105539.87836237776,6.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.7702583941215417,69650.45703083814,5.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.403979202544539,75249.6080693548,7.0
"No, but I plan to soon",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.726285074724258,87607.83648117537,6.0
Yes,Remote,Primary/elementary school,8.045066736527598,104547.27227913291,6.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.327770226667456,82024.51343865227,9.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.196715279621596,,7.0
